Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
12115,1,0,0.059,0,0,0,11,62,33,7,42,903.43,184313,70780,2745,28.5,0,0,193
13021,2,1.7,0,0,0,0,3,42,14,8,6,57513.49,19397,6870,248,24.1,0,0,81
13051,2,31.1,0,0,0,0,6,60,25,9,21,493.05,13392,4600,146,46.4,19.2,0,72
13059,2,0,0.062,0,0,0,2,22,7,3,2,184.39,258773,111945,5419,28.5,0,0,158
13063,1,0,0,0,0,0,11,67,8,4,17,613.03,2834,820,38,0,0,0,21
13067,1,0,0,0,0,0,19,125,51,6,42,499.08,6618,2185,133,53.3,0,0,69
13069,1,0,0,0,0,0,1,12,2,1,1,162.16,760141,368545,20567,62.1,11.1,0,383
13073,1,0,0,0,0,0,3,32,5,0,2,426.44,45600,18085,879,38.2,0,0,195
13085,1,0,0,0,0,0,1,7,2,0,0,141.57,16116,7425,215,28.1,0,0,73
13089,2,0.8,0.044,43.9,0,0,22,152,65,16,40,339.55,26404,9815,585,56.3,0,0,74
13095,2,0,0,0,0,0,4,24,5,2,2,290.09,13390,4970,155,38.9,0,0,73
13097,1,0,0,0,0,0,5,35,9,2,8,227.16,87956,33985,2250,60.2,0,0,98
13115,1,6.9,0,0,0,0,4,29,4,4,4,391.94,114421,50100,3509,15.2,0,0,74
13121,1,1.1,0,42.1,0,0,24,199,94,18,224,512.59,23349,7800,453,14.2,0,0,117
13127,1,0,0,0,0,0,4,17,5,2,7,351.06,2971,1280,25,8.2,0,0,22
13135,2,0,0,0,0,0,2,144,49,6,43,194.34,18324,6105,458,18.3,0,0,67
13139,2,0,0,0,0,0,8,42,7,1,19,224.02,45328,16240,835,10.9,10.9,0,107
13151,1,0,0,0,0,0,1,50,15,2,4,355.81,11923,4555,126,2.2,0,0,61
13153,2,0,0,0,0,0,4,37,7,2,6,454.53,234561,92535,3764,34.2,0,0,139
13185,1,0,0,0,0,0,4,20,10,3,9,526.49,19559,6405,73,13.4,13.4,0,47
13213,1,0,0,0,0,0,3,11,3,1,0,257.46,19276,7630,499,38.8,0,0,103
13215,2,0,0,0,0,0,4,56,11,7,19,424.3,40096,16200,412,29.3,0,0,83
13245,2,2,0,0,0,0,7,61,12,11,10,312.22,6778,2540,128,32.7,0,0,50
13247,1,0,0,0,0,0,0,21,2,1,10,150.27,202518,81125,4264,70.5,0,0,184
13295,1,0,0,0,0,0,1,18,1,0,1,335.44,26320,9465,449,12.9,0,0,61
13303,2,0,0,0,0,0,0,5,1,1,1,166.56,5254,2030,71,42,0,0,56
15001,1,20,0,0,0,0,7,56,11,6,30,284.3,20247,8580,262,18.2,0,0,123
15003,1,0,0,0,1,0,29,184,75,18,151,678.45,201513,81650,4132,0,0,6,235
16023,1,0,0,0,0,0,2,4,0,1,1,1161.52,12245,3795,375,83.9,34.6,0,83
16049,1,0,0,0,0,0,14,9,2,2,0,2231.67,15179,6780,372,30.6,0,0,78
16053,1,0,0,0,0,0,2,9,1,1,2,587.37,29871,11190,513,51.6,0,0,127
16069,1,0,0,0,0,0,4,18,5,1,2,1863.53,21039,9115,419,49.6,0,0,62
17019,1,2,0.042,0,1,0,21,61,17,3,23,449.46,12147,6055,238,11,0,2,77
17023,1,0,0.048,0,0,0,7,9,0,0,0,3664.52,32304,14900,712,63.6,0,0,323
17031,2,6.8,0.042,48.8,2,0,59,1403,449,73,257,235.51,50621,24585,1174,58.2,20.3,0,305
17043,2,0,0,0,0,0,17,260,88,8,63,444.81,19465,9165,601,68.8,15.9,0,228
17065,2,0,0,0,0,0,5,4,0,1,1,631.31,51054,23790,1187,73.9,12.1,5,270
17083,1,0,0,0,0,0,6,8,1,1,1,408.89,37684,15715,957,165.8,0,0,257
17089,2,0,0,0,0,0,13,154,40,5,47,543.02,12417,4280,171,29,0,0,116
17099,1,3.2,0,0,0,1,11,51,8,4,10,378.87,696535,348750,19861,153.6,94.9,3,251
17111,1,0,0,0,0,0,7,85,16,3,17,369.27,29682,13630,662,75,35.2,0,201
17113,2,0,0,0,0,0,10,58,12,2,43,601.09,307774,156610,7961,85.2,35.4,0,225
17115,2,32.7,0,0,2,0,11,46,5,2,3,343.92,171517,90470,3609,130.4,42.6,0,623
17117,1,2.3,0,11,0,0,14,29,1,2,2,520.06,104009,47650,2417,120.8,0,0,346
17119,2,6.1,0,0,0,0,6,77,27,7,15,676.56,44926,20625,862,109.8,41,0,245
17143,2,0,0,0,1,0,10,77,24,4,14,580.69,50643,24515,1060,126.9,0,0,378
17157,1,0,0,0,0,0,4,14,9,3,0,314.44,5739,2905,126,22.4,0,3,51
17161,2,0,0,0,0,1,6,54,9,3,12,385.01,15513,7140,465,21.7,0,0,150
17163,2,6.9,0,29.8,0,0,9,94,19,4,15,703.69,141879,67155,3077,66.2,0,2,275
17167,1,0,0,0,1,0,12,74,17,4,28,335.94,23491,9425,574,24.3,0,0,185
17179,1,6.4,0,0,1,0,5,57,9,2,2,368.77,44498,21205,1054,32.6,1.3,0,341
17185,1,7.8,0,0,0,0,3,5,2,1,0,575.5,75758,31700,1426,125.4,0,0,493
17197,2,0,0,0,1,1,5,191,52,5,69,437.27,55175,26205,1222,64.5,0,0,277
17201,2,0,0,0,0,0,14,92,23,4,18,758.52,66597,28465,1613,67.4,0,0,200
18003,1,0,0.048,0,0,0,36,87,52,11,23,648.97,35777,14800,743,6.5,0,0,192
